x	y	total_counts
8.948x17.955	8.948	17.955	1458
15.934x17.959	15.934	17.959	1728
12.999x17.964	12.999	17.964	813
13.95x17.967	13.95	17.967	1237
25.943x17.973	25.943	17.973	1803
24.993x17.972	24.993	17.972	1698
14.936x17.987	14.936	17.987	13874
21.841x18.845	21.841	18.845	919
13.049x18.94	13.049	18.94	699
20.947x18.93	20.947	18.93	756
24.067x18.934	24.067	18.934	502
20.002x18.943	20.002	18.943	1165
23.052x18.956	23.052	18.956	880
27.94x18.942	27.94	18.942	988
11.999x18.982	11.999	18.982	4038
17.864x18.951	17.864	18.951	988
26.968x18.952	26.968	18.952	2118
16.921x18.963	16.921	18.963	622
24.977x18.95	24.977	18.95	948
25.948x18.959	25.948	18.959	2060
18.887x18.959	18.887	18.959	2209
13.909x18.965	13.909	18.965	763
15.948x18.987	15.948	18.987	898
14.926x18.999	14.926	18.999	2841
21.886x19.83	21.886	19.83	1262
23.058x19.956	23.058	19.956	838
18.964x19.945	18.964	19.945	733
26.946x19.955	26.946	19.955	580
13.944x19.962	13.944	19.962	756
17.855x19.956	17.855	19.956	749
24.065x19.964	24.065	19.964	637
25.957x19.97	25.957	19.97	1464
20.913x20.004	20.913	20.004	654
12.951x20.01	12.951	20.01	412
19.98x20.008	19.98	20.008	723
14.988x20.004	14.988	20.004	1061
15.896x20.044	15.896	20.044	855
25.02x20.153	25.02	20.153	1732
23.077x20.97	23.077	20.97	1069
20.116x20.962	20.116	20.962	560
17.867x20.954	17.867	20.954	367
18.946x20.962	18.946	20.962	494
26.997x20.955	26.997	20.955	4481
15.989x20.983	15.989	20.983	633
24.046x20.982	24.046	20.982	559
25.964x20.984	25.964	20.984	2126
13.905x21.008	13.905	21.008	2711
14.877x21.028	14.877	21.028	689
24.985x21.028	24.985	21.028	1312
20.964x21.73	20.964	21.73	739
21.88x21.822	21.88	21.822	892
20.018x21.924	20.018	21.924	425
17.893x21.953	17.893	21.953	457
18.957x21.952	18.957	21.952	357
24.12x21.952	24.12	21.952	2098
16.919x21.976	16.919	21.976	500
23.026x21.989	23.026	21.989	809
24.951x21.959	24.951	21.959	718
15.97x21.986	15.97	21.986	731
14.981x22.004	14.981	22.004	583
25.921x21.976	25.921	21.976	3453
13.918x22.022	13.918	22.022	945
21.874x22.847	21.874	22.847	833
20.985x22.91	20.985	22.91	738
17.898x22.932	17.898	22.932	665
18.963x22.952	18.963	22.952	548
19.952x22.955	19.952	22.955	697
23.099x22.977	23.099	22.977	1939
15.984x22.97	15.984	22.97	435
16.933x22.967	16.933	22.967	423
26.021x22.977	26.021	22.977	812
24.088x22.99	24.088	22.99	1453
24.957x23.019	24.957	23.019	1204
21.894x23.851	21.894	23.851	779
18.937x23.952	18.937	23.952	1115
20.925x23.924	20.925	23.924	503
20.019x23.934	20.019	23.934	395
24.055x23.946	24.055	23.946	587
23.094x23.975	23.094	23.975	847
24.981x23.964	24.981	23.964	705
21.874x24.852	21.874	24.852	979
23.096x24.93	23.096	24.93	739
24.076x25.951	24.076	25.951	626
